gene,protein_accession,aro_index,count,rpob_Normalization,rpob_count,sample,SampleType
efpA,CCP45647.1,ARO:3003955,18,0.003321764324419024,13007,SRR12901034_arg_full,Secondary
efrB,CDO61516.1,ARO:3003949,2,0.000539901088541935,13007,SRR12901034_arg_full,Secondary
emrA,BAA16547.1,ARO:3000027,1,0.00025061904749452995,13007,SRR12901034_arg_full,Secondary
emrB,AAC75733.1,ARO:3000074,2,0.0003820352731787961,13007,SRR12901034_arg_full,Secondary
emrY,BAA11237.1,ARO:3000254,1,0.00019101763658939806,13007,SRR12901034_arg_full,Secondary
iri,AAB41059.1,ARO:3002884,4,0.0008166003964196767,13007,SRR12901034_arg_full,Secondary
kdpE,AAC73788.1,ARO:3003841,2,0.0008671862616846124,13007,SRR12901034_arg_full,Secondary
lmrD,AYV52072.1,ARO:3002882,1,0.00014735646251182137,13007,SRR12901034_arg_full,Secondary
lnuC,AAY32951.1,ARO:3002837,1,0.0005938911973961286,13007,SRR12901034_arg_full,Secondary
lnuD,ABR14060.1,ARO:3002838,7,0.0041572383817729,13007,SRR12901034_arg_full,Secondary
lsaB,CAE18141.1,ARO:3003111,2,0.0003975336615430475,13007,SRR12901034_arg_full,Secondary
lsaE,AAL05554.1,ARO:3003206,2,,13007,SRR12901034_arg_full,Secondary
mdtA,AAC75135.2,ARO:3000792,1,0.00023555780665952212,13007,SRR12901034_arg_full,Secondary
mdtB,AAC75136.1,ARO:3000793,19,0.0017885196002275338,13007,SRR12901034_arg_full,Secondary
mdtC,AAC75137.1,ARO:3000794,8,0.0007640705463575922,13007,SRR12901034_arg_full,Secondary
mdtM,AAC77293.1,ARO:3001214,1,0.00023842347340720488,13007,SRR12901034_arg_full,Secondary
mefB,ACJ63262.1,ARO:3003107,14,,13007,SRR12901034_arg_full,Secondary
mefC,BAL43360.1,ARO:3003745,2,,13007,SRR12901034_arg_full,Secondary
mel,AAL73129.1,ARO:3000616,10,0.002413597230797074,13007,SRR12901034_arg_full,Secondary
mexI,AAG07594.1,ARO:3000808,3,,13007,SRR12901034_arg_full,Secondary
mexK,AAG07064.1,ARO:3003693,35,,13007,SRR12901034_arg_full,Secondary
mexN,BAE06006.1,ARO:3003705,1,9.449570643236375e-05,13007,SRR12901034_arg_full,Secondary
mexW,AAG07763.1,ARO:3003031,8,,13007,SRR12901034_arg_full,Secondary
mphA,BAA03776.1,ARO:3000316,1,0.00032447697870980534,13007,SRR12901034_arg_full,Secondary
mphE,ABI20451.1,ARO:3003741,76,0.02524540886558458,13007,SRR12901034_arg_full,Secondary
msbA,AAC74000.1,ARO:3003950,12,0.002016988972288738,13007,SRR12901034_arg_full,Secondary
msrE,ACB05808.1,ARO:3003109,45,0.008962687277776939,13007,SRR12901034_arg_full,Secondary
mtrA,CCP46065.1,ARO:3000816,24,,13007,SRR12901034_arg_full,Secondary
mtrD,AAF42062.1,ARO:3000811,3,0.00027525856059090227,13007,SRR12901034_arg_full,Secondary
